qc_test,variable,county,sensor_type,month,threshold,threshold_value
grossrange,dissolved_oxygen_uncorrected_mg_per_l,NA,hobo do,NA,sensor_min,0
grossrange,dissolved_oxygen_uncorrected_mg_per_l,NA,hobo do,NA,sensor_max,30
grossrange,dissolved_oxygen_percent_saturation,NA,aquameasure,NA,sensor_min,0
grossrange,dissolved_oxygen_percent_saturation,NA,aquameasure,NA,sensor_max,150
grossrange,salinity_psu,NA,aquameasure,NA,sensor_min,0
grossrange,salinity_psu,NA,aquameasure,NA,sensor_max,40
grossrange,sensor_depth_measured_m,NA,aquameasure,NA,sensor_min,0
grossrange,sensor_depth_measured_m,NA,aquameasure,NA,sensor_max,100
grossrange,temperature_degree_c,NA,aquameasure,NA,sensor_min,-5
grossrange,temperature_degree_c,NA,aquameasure,NA,sensor_max,35
grossrange,temperature_degree_c,NA,hobo,NA,sensor_min,-40
grossrange,temperature_degree_c,NA,hobo,NA,sensor_max,70
grossrange,temperature_degree_c,NA,vr2ar,NA,sensor_min,-5
grossrange,temperature_degree_c,NA,vr2ar,NA,sensor_max,40
grossrange,temperature_degree_c,NA,tidbit,NA,sensor_min,-20
grossrange,temperature_degree_c,NA,tidbit,NA,sensor_max,50
grossrange,sensor_depth_measured_m,NA,vr2ar,NA,sensor_min,0
grossrange,sensor_depth_measured_m,NA,vr2ar,NA,sensor_max,500
grossrange,temperature_degree_c,NA,hobo do,NA,sensor_min,-5
grossrange,temperature_degree_c,NA,hobo do,NA,sensor_max,40
grossrange,temperature_degree_c,Annapolis,NA,NA,user_min,-2.1689999999999987
grossrange,temperature_degree_c,Annapolis,NA,NA,user_max,20.631
grossrange,temperature_degree_c,Antigonish,NA,NA,user_min,-14.510999999999997
grossrange,temperature_degree_c,Antigonish,NA,NA,user_max,34.893
grossrange,temperature_degree_c,Cape Breton,NA,NA,user_min,-14.862
grossrange,temperature_degree_c,Cape Breton,NA,NA,user_max,32.586
grossrange,temperature_degree_c,Colchester,NA,NA,user_min,-15.327
grossrange,temperature_degree_c,Colchester,NA,NA,user_max,33.231
grossrange,temperature_degree_c,Digby,NA,NA,user_min,-4.235999999999997
grossrange,temperature_degree_c,Digby,NA,NA,user_max,22.47
grossrange,temperature_degree_c,Guysborough,NA,NA,user_min,-9.533
grossrange,temperature_degree_c,Guysborough,NA,NA,user_max,23.262999999999998
grossrange,temperature_degree_c,Halifax,NA,NA,user_min,-7.68
grossrange,temperature_degree_c,Halifax,NA,NA,user_max,22.14
grossrange,temperature_degree_c,Inverness,NA,NA,user_min,-6.443999999999998
grossrange,temperature_degree_c,Inverness,NA,NA,user_max,19.721999999999998
grossrange,temperature_degree_c,Lunenburg,NA,NA,user_min,-5.167000000000001
grossrange,temperature_degree_c,Lunenburg,NA,NA,user_max,19.637
grossrange,temperature_degree_c,Pictou,NA,NA,user_min,-14.806000000000003
grossrange,temperature_degree_c,Pictou,NA,NA,user_max,33.692
grossrange,temperature_degree_c,Queens,NA,NA,user_min,-3.396
grossrange,temperature_degree_c,Queens,NA,NA,user_max,18.9
grossrange,temperature_degree_c,Richmond,NA,NA,user_min,-10.82
grossrange,temperature_degree_c,Richmond,NA,NA,user_max,24.939999999999998
grossrange,temperature_degree_c,Shelburne,NA,NA,user_min,-3.8759999999999986
grossrange,temperature_degree_c,Shelburne,NA,NA,user_max,18.558
grossrange,temperature_degree_c,Victoria,NA,NA,user_min,-12.907000000000004
grossrange,temperature_degree_c,Victoria,NA,NA,user_max,28.841
grossrange,temperature_degree_c,Yarmouth,NA,NA,user_min,-7.829000000000002
grossrange,temperature_degree_c,Yarmouth,NA,NA,user_max,27.157000000000004
climatology,temperature_degree_c,Annapolis,NA,1,season_min,1.803
climatology,temperature_degree_c,Annapolis,NA,1,season_max,8.937
climatology,temperature_degree_c,Annapolis,NA,2,season_min,1.994
climatology,temperature_degree_c,Annapolis,NA,2,season_max,6.05
climatology,temperature_degree_c,Annapolis,NA,3,season_min,1.195
climatology,temperature_degree_c,Annapolis,NA,3,season_max,6.457
climatology,temperature_degree_c,Annapolis,NA,4,season_min,3.785
climatology,temperature_degree_c,Annapolis,NA,4,season_max,8.393
climatology,temperature_degree_c,Annapolis,NA,5,season_min,4.449
climatology,temperature_degree_c,Annapolis,NA,5,season_max,12.579
climatology,temperature_degree_c,Annapolis,NA,6,season_min,7.088
climatology,temperature_degree_c,Annapolis,NA,6,season_max,15.524
climatology,temperature_degree_c,Annapolis,NA,7,season_min,9.243
climatology,temperature_degree_c,Annapolis,NA,7,season_max,16.005
climatology,temperature_degree_c,Annapolis,NA,8,season_min,10.913
climatology,temperature_degree_c,Annapolis,NA,8,season_max,17.411
climatology,temperature_degree_c,Annapolis,NA,9,season_min,11.371
climatology,temperature_degree_c,Annapolis,NA,9,season_max,16.657
climatology,temperature_degree_c,Annapolis,NA,10,season_min,9.835
climatology,temperature_degree_c,Annapolis,NA,10,season_max,15.643
climatology,temperature_degree_c,Annapolis,NA,11,season_min,6.073
climatology,temperature_degree_c,Annapolis,NA,11,season_max,13.945
climatology,temperature_degree_c,Annapolis,NA,12,season_min,4.829
climatology,temperature_degree_c,Annapolis,NA,12,season_max,11.369
climatology,temperature_degree_c,Antigonish,NA,1,season_min,-3.074
climatology,temperature_degree_c,Antigonish,NA,1,season_max,4.558
climatology,temperature_degree_c,Antigonish,NA,2,season_min,-2.127
climatology,temperature_degree_c,Antigonish,NA,2,season_max,2.319
climatology,temperature_degree_c,Antigonish,NA,3,season_min,-3.686
climatology,temperature_degree_c,Antigonish,NA,3,season_max,5.056
climatology,temperature_degree_c,Antigonish,NA,4,season_min,-2.214
climatology,temperature_degree_c,Antigonish,NA,4,season_max,11.772
climatology,temperature_degree_c,Antigonish,NA,5,season_min,-0.501
climatology,temperature_degree_c,Antigonish,NA,5,season_max,21.075
climatology,temperature_degree_c,Antigonish,NA,6,season_min,5.26
climatology,temperature_degree_c,Antigonish,NA,6,season_max,27.31
climatology,temperature_degree_c,Antigonish,NA,7,season_min,13.089
climatology,temperature_degree_c,Antigonish,NA,7,season_max,27.975
climatology,temperature_degree_c,Antigonish,NA,8,season_min,17.454
climatology,temperature_degree_c,Antigonish,NA,8,season_max,27.588
climatology,temperature_degree_c,Antigonish,NA,9,season_min,13.133
climatology,temperature_degree_c,Antigonish,NA,9,season_max,24.917
climatology,temperature_degree_c,Antigonish,NA,10,season_min,8.996
climatology,temperature_degree_c,Antigonish,NA,10,season_max,20.12
climatology,temperature_degree_c,Antigonish,NA,11,season_min,3.573
climatology,temperature_degree_c,Antigonish,NA,11,season_max,14.283
climatology,temperature_degree_c,Antigonish,NA,12,season_min,-3.569
climatology,temperature_degree_c,Antigonish,NA,12,season_max,11.281
climatology,temperature_degree_c,Cape Breton,NA,1,season_min,-2.401
climatology,temperature_degree_c,Cape Breton,NA,1,season_max,3.257
climatology,temperature_degree_c,Cape Breton,NA,2,season_min,-2.578
climatology,temperature_degree_c,Cape Breton,NA,2,season_max,1.442
climatology,temperature_degree_c,Cape Breton,NA,3,season_min,-2.457
climatology,temperature_degree_c,Cape Breton,NA,3,season_max,2.229
climatology,temperature_degree_c,Cape Breton,NA,4,season_min,-3.774
climatology,temperature_degree_c,Cape Breton,NA,4,season_max,8.274
climatology,temperature_degree_c,Cape Breton,NA,5,season_min,-0.201
climatology,temperature_degree_c,Cape Breton,NA,5,season_max,13.353
climatology,temperature_degree_c,Cape Breton,NA,6,season_min,1.913
climatology,temperature_degree_c,Cape Breton,NA,6,season_max,22.763
climatology,temperature_degree_c,Cape Breton,NA,7,season_min,13.115
climatology,temperature_degree_c,Cape Breton,NA,7,season_max,25.835
climatology,temperature_degree_c,Cape Breton,NA,8,season_min,17.391
climatology,temperature_degree_c,Cape Breton,NA,8,season_max,24.087
climatology,temperature_degree_c,Cape Breton,NA,9,season_min,14.546
climatology,temperature_degree_c,Cape Breton,NA,9,season_max,21.518
climatology,temperature_degree_c,Cape Breton,NA,10,season_min,8.477
climatology,temperature_degree_c,Cape Breton,NA,10,season_max,19.253
climatology,temperature_degree_c,Cape Breton,NA,11,season_min,4.643
climatology,temperature_degree_c,Cape Breton,NA,11,season_max,13.907
climatology,temperature_degree_c,Cape Breton,NA,12,season_min,-1.551
climatology,temperature_degree_c,Cape Breton,NA,12,season_max,9.645
climatology,temperature_degree_c,Colchester,NA,1,season_min,-3.795
climatology,temperature_degree_c,Colchester,NA,1,season_max,2.751
climatology,temperature_degree_c,Colchester,NA,2,season_min,-2.241
climatology,temperature_degree_c,Colchester,NA,2,season_max,-0.315
climatology,temperature_degree_c,Colchester,NA,3,season_min,-3.181
climatology,temperature_degree_c,Colchester,NA,3,season_max,1.847
climatology,temperature_degree_c,Colchester,NA,4,season_min,-1.205
climatology,temperature_degree_c,Colchester,NA,4,season_max,8.245
climatology,temperature_degree_c,Colchester,NA,5,season_min,2.212
climatology,temperature_degree_c,Colchester,NA,5,season_max,14.758
climatology,temperature_degree_c,Colchester,NA,6,season_min,8.489
climatology,temperature_degree_c,Colchester,NA,6,season_max,21.167
climatology,temperature_degree_c,Colchester,NA,7,season_min,13.224
climatology,temperature_degree_c,Colchester,NA,7,season_max,23.352
climatology,temperature_degree_c,Colchester,NA,8,season_min,16.132
climatology,temperature_degree_c,Colchester,NA,8,season_max,24.838
climatology,temperature_degree_c,Colchester,NA,9,season_min,15.718
climatology,temperature_degree_c,Colchester,NA,9,season_max,21.202
climatology,temperature_degree_c,Colchester,NA,10,season_min,8.846
climatology,temperature_degree_c,Colchester,NA,10,season_max,19.466
climatology,temperature_degree_c,Colchester,NA,11,season_min,3.142
climatology,temperature_degree_c,Colchester,NA,11,season_max,13.45
climatology,temperature_degree_c,Colchester,NA,12,season_min,-3.324
climatology,temperature_degree_c,Colchester,NA,12,season_max,10.068
climatology,temperature_degree_c,Digby,NA,1,season_min,-1.242
climatology,temperature_degree_c,Digby,NA,1,season_max,10.146
climatology,temperature_degree_c,Digby,NA,2,season_min,-1.71
climatology,temperature_degree_c,Digby,NA,2,season_max,6.846
climatology,temperature_degree_c,Digby,NA,3,season_min,-0.534
climatology,temperature_degree_c,Digby,NA,3,season_max,6.786
climatology,temperature_degree_c,Digby,NA,4,season_min,2.543
climatology,temperature_degree_c,Digby,NA,4,season_max,8.567
climatology,temperature_degree_c,Digby,NA,5,season_min,3.299
climatology,temperature_degree_c,Digby,NA,5,season_max,12.845
climatology,temperature_degree_c,Digby,NA,6,season_min,5.058
climatology,temperature_degree_c,Digby,NA,6,season_max,18.432
climatology,temperature_degree_c,Digby,NA,7,season_min,7.899
climatology,temperature_degree_c,Digby,NA,7,season_max,19.251
climatology,temperature_degree_c,Digby,NA,8,season_min,8.95
climatology,temperature_degree_c,Digby,NA,8,season_max,20.338
climatology,temperature_degree_c,Digby,NA,9,season_min,10.427
climatology,temperature_degree_c,Digby,NA,9,season_max,18.011
climatology,temperature_degree_c,Digby,NA,10,season_min,9.957
climatology,temperature_degree_c,Digby,NA,10,season_max,16.305
climatology,temperature_degree_c,Digby,NA,11,season_min,7.093
climatology,temperature_degree_c,Digby,NA,11,season_max,14.101
climatology,temperature_degree_c,Digby,NA,12,season_min,3.672
climatology,temperature_degree_c,Digby,NA,12,season_max,11.76
climatology,temperature_degree_c,Guysborough,NA,1,season_min,-1.761
climatology,temperature_degree_c,Guysborough,NA,1,season_max,6.123
climatology,temperature_degree_c,Guysborough,NA,2,season_min,-2.932
climatology,temperature_degree_c,Guysborough,NA,2,season_max,4.13
climatology,temperature_degree_c,Guysborough,NA,3,season_min,-2.762
climatology,temperature_degree_c,Guysborough,NA,3,season_max,3.238
climatology,temperature_degree_c,Guysborough,NA,4,season_min,-2.143
climatology,temperature_degree_c,Guysborough,NA,4,season_max,5.189
climatology,temperature_degree_c,Guysborough,NA,5,season_min,-1.786
climatology,temperature_degree_c,Guysborough,NA,5,season_max,9.662
climatology,temperature_degree_c,Guysborough,NA,6,season_min,-1.975
climatology,temperature_degree_c,Guysborough,NA,6,season_max,15.617
climatology,temperature_degree_c,Guysborough,NA,7,season_min,-1.387
climatology,temperature_degree_c,Guysborough,NA,7,season_max,22.931
climatology,temperature_degree_c,Guysborough,NA,8,season_min,0.805
climatology,temperature_degree_c,Guysborough,NA,8,season_max,28.495
climatology,temperature_degree_c,Guysborough,NA,9,season_min,4.763
climatology,temperature_degree_c,Guysborough,NA,9,season_max,25.931
climatology,temperature_degree_c,Guysborough,NA,10,season_min,4.534
climatology,temperature_degree_c,Guysborough,NA,10,season_max,20.488
climatology,temperature_degree_c,Guysborough,NA,11,season_min,2.956
climatology,temperature_degree_c,Guysborough,NA,11,season_max,14.506
climatology,temperature_degree_c,Guysborough,NA,12,season_min,0.123
climatology,temperature_degree_c,Guysborough,NA,12,season_max,10.005
climatology,temperature_degree_c,Halifax,NA,1,season_min,-2.112
climatology,temperature_degree_c,Halifax,NA,1,season_max,6.954
climatology,temperature_degree_c,Halifax,NA,2,season_min,-1.723
climatology,temperature_degree_c,Halifax,NA,2,season_max,4.505
climatology,temperature_degree_c,Halifax,NA,3,season_min,-2.237
climatology,temperature_degree_c,Halifax,NA,3,season_max,5.413
climatology,temperature_degree_c,Halifax,NA,4,season_min,-2.456
climatology,temperature_degree_c,Halifax,NA,4,season_max,7.414
climatology,temperature_degree_c,Halifax,NA,5,season_min,-1.465
climatology,temperature_degree_c,Halifax,NA,5,season_max,11.207
climatology,temperature_degree_c,Halifax,NA,6,season_min,-1.464
climatology,temperature_degree_c,Halifax,NA,6,season_max,16.548
climatology,temperature_degree_c,Halifax,NA,7,season_min,0.301
climatology,temperature_degree_c,Halifax,NA,7,season_max,22.309
climatology,temperature_degree_c,Halifax,NA,8,season_min,-0.116
climatology,temperature_degree_c,Halifax,NA,8,season_max,26.326
climatology,temperature_degree_c,Halifax,NA,9,season_min,6.716
climatology,temperature_degree_c,Halifax,NA,9,season_max,24.698
climatology,temperature_degree_c,Halifax,NA,10,season_min,4.135
climatology,temperature_degree_c,Halifax,NA,10,season_max,20.497
climatology,temperature_degree_c,Halifax,NA,11,season_min,1.983
climatology,temperature_degree_c,Halifax,NA,11,season_max,15.351
climatology,temperature_degree_c,Halifax,NA,12,season_min,0.119
climatology,temperature_degree_c,Halifax,NA,12,season_max,10.613
climatology,temperature_degree_c,Inverness,NA,1,season_min,-0.548
climatology,temperature_degree_c,Inverness,NA,1,season_max,5.128
climatology,temperature_degree_c,Inverness,NA,2,season_min,-0.705
climatology,temperature_degree_c,Inverness,NA,2,season_max,3.045
climatology,temperature_degree_c,Inverness,NA,3,season_min,-0.779
climatology,temperature_degree_c,Inverness,NA,3,season_max,2.515
climatology,temperature_degree_c,Inverness,NA,4,season_min,-1.138
climatology,temperature_degree_c,Inverness,NA,4,season_max,4.502
climatology,temperature_degree_c,Inverness,NA,5,season_min,-0.529
climatology,temperature_degree_c,Inverness,NA,5,season_max,10.343
climatology,temperature_degree_c,Inverness,NA,6,season_min,-5.608
climatology,temperature_degree_c,Inverness,NA,6,season_max,21.374
climatology,temperature_degree_c,Inverness,NA,7,season_min,-9
climatology,temperature_degree_c,Inverness,NA,7,season_max,30.66
climatology,temperature_degree_c,Inverness,NA,8,season_min,-11.14
climatology,temperature_degree_c,Inverness,NA,8,season_max,36.578
climatology,temperature_degree_c,Inverness,NA,9,season_min,-5.978
climatology,temperature_degree_c,Inverness,NA,9,season_max,28.828
climatology,temperature_degree_c,Inverness,NA,10,season_min,-4.073
climatology,temperature_degree_c,Inverness,NA,10,season_max,25.363
climatology,temperature_degree_c,Inverness,NA,11,season_min,-0.305
climatology,temperature_degree_c,Inverness,NA,11,season_max,17.815
climatology,temperature_degree_c,Inverness,NA,12,season_min,0.88
climatology,temperature_degree_c,Inverness,NA,12,season_max,12.1
climatology,temperature_degree_c,Lunenburg,NA,1,season_min,-0.279
climatology,temperature_degree_c,Lunenburg,NA,1,season_max,7.467
climatology,temperature_degree_c,Lunenburg,NA,2,season_min,-0.629
climatology,temperature_degree_c,Lunenburg,NA,2,season_max,4.291
climatology,temperature_degree_c,Lunenburg,NA,3,season_min,-0.363
climatology,temperature_degree_c,Lunenburg,NA,3,season_max,4.755
climatology,temperature_degree_c,Lunenburg,NA,4,season_min,0.353
climatology,temperature_degree_c,Lunenburg,NA,4,season_max,6.557
climatology,temperature_degree_c,Lunenburg,NA,5,season_min,-1.13
climatology,temperature_degree_c,Lunenburg,NA,5,season_max,11.506
climatology,temperature_degree_c,Lunenburg,NA,6,season_min,-1.545
climatology,temperature_degree_c,Lunenburg,NA,6,season_max,16.155
climatology,temperature_degree_c,Lunenburg,NA,7,season_min,-2.704
climatology,temperature_degree_c,Lunenburg,NA,7,season_max,22.172
climatology,temperature_degree_c,Lunenburg,NA,8,season_min,-3.033
climatology,temperature_degree_c,Lunenburg,NA,8,season_max,25.053
climatology,temperature_degree_c,Lunenburg,NA,9,season_min,2.279
climatology,temperature_degree_c,Lunenburg,NA,9,season_max,25.295
climatology,temperature_degree_c,Lunenburg,NA,10,season_min,5.046
climatology,temperature_degree_c,Lunenburg,NA,10,season_max,20.802
climatology,temperature_degree_c,Lunenburg,NA,11,season_min,3.609
climatology,temperature_degree_c,Lunenburg,NA,11,season_max,15.345
climatology,temperature_degree_c,Lunenburg,NA,12,season_min,1.506
climatology,temperature_degree_c,Lunenburg,NA,12,season_max,11.142
climatology,temperature_degree_c,Pictou,NA,1,season_min,-3.4
climatology,temperature_degree_c,Pictou,NA,1,season_max,4.484
climatology,temperature_degree_c,Pictou,NA,2,season_min,-2.752
climatology,temperature_degree_c,Pictou,NA,2,season_max,0.854
climatology,temperature_degree_c,Pictou,NA,3,season_min,-4.072
climatology,temperature_degree_c,Pictou,NA,3,season_max,3.704
climatology,temperature_degree_c,Pictou,NA,4,season_min,-1.072
climatology,temperature_degree_c,Pictou,NA,4,season_max,9.422
climatology,temperature_degree_c,Pictou,NA,5,season_min,1.33
climatology,temperature_degree_c,Pictou,NA,5,season_max,17.68
climatology,temperature_degree_c,Pictou,NA,6,season_min,7.347
climatology,temperature_degree_c,Pictou,NA,6,season_max,20.895
climatology,temperature_degree_c,Pictou,NA,7,season_min,11.91
climatology,temperature_degree_c,Pictou,NA,7,season_max,27.558
climatology,temperature_degree_c,Pictou,NA,8,season_min,15.743
climatology,temperature_degree_c,Pictou,NA,8,season_max,27.557
climatology,temperature_degree_c,Pictou,NA,9,season_min,13.204
climatology,temperature_degree_c,Pictou,NA,9,season_max,24.322
climatology,temperature_degree_c,Pictou,NA,10,season_min,7.438
climatology,temperature_degree_c,Pictou,NA,10,season_max,20.044
climatology,temperature_degree_c,Pictou,NA,11,season_min,1.384
climatology,temperature_degree_c,Pictou,NA,11,season_max,14.47
climatology,temperature_degree_c,Pictou,NA,12,season_min,-2.822
climatology,temperature_degree_c,Pictou,NA,12,season_max,11.398
climatology,temperature_degree_c,Queens,NA,1,season_min,2.142
climatology,temperature_degree_c,Queens,NA,1,season_max,7.704
climatology,temperature_degree_c,Queens,NA,2,season_min,1.198
climatology,temperature_degree_c,Queens,NA,2,season_max,4.684
climatology,temperature_degree_c,Queens,NA,3,season_min,1.676
climatology,temperature_degree_c,Queens,NA,3,season_max,5.348
climatology,temperature_degree_c,Queens,NA,4,season_min,2.134
climatology,temperature_degree_c,Queens,NA,4,season_max,5.998
climatology,temperature_degree_c,Queens,NA,5,season_min,2.068
climatology,temperature_degree_c,Queens,NA,5,season_max,9.04
climatology,temperature_degree_c,Queens,NA,6,season_min,1.337
climatology,temperature_degree_c,Queens,NA,6,season_max,13.043
climatology,temperature_degree_c,Queens,NA,7,season_min,-0.133
climatology,temperature_degree_c,Queens,NA,7,season_max,18.419
climatology,temperature_degree_c,Queens,NA,8,season_min,-1.058
climatology,temperature_degree_c,Queens,NA,8,season_max,20.728
climatology,temperature_degree_c,Queens,NA,9,season_min,4.507
climatology,temperature_degree_c,Queens,NA,9,season_max,22.309
climatology,temperature_degree_c,Queens,NA,10,season_min,4.69
climatology,temperature_degree_c,Queens,NA,10,season_max,22.6
climatology,temperature_degree_c,Queens,NA,11,season_min,6.622
climatology,temperature_degree_c,Queens,NA,11,season_max,15.52
climatology,temperature_degree_c,Queens,NA,12,season_min,4.591
climatology,temperature_degree_c,Queens,NA,12,season_max,10.873
climatology,temperature_degree_c,Richmond,NA,1,season_min,-2.049
climatology,temperature_degree_c,Richmond,NA,1,season_max,5.181
climatology,temperature_degree_c,Richmond,NA,2,season_min,-3.352
climatology,temperature_degree_c,Richmond,NA,2,season_max,3.794
climatology,temperature_degree_c,Richmond,NA,3,season_min,-3.134
climatology,temperature_degree_c,Richmond,NA,3,season_max,3.232
climatology,temperature_degree_c,Richmond,NA,4,season_min,-2.59
climatology,temperature_degree_c,Richmond,NA,4,season_max,4.988
climatology,temperature_degree_c,Richmond,NA,5,season_min,-0.806
climatology,temperature_degree_c,Richmond,NA,5,season_max,9.202
climatology,temperature_degree_c,Richmond,NA,6,season_min,-0.192
climatology,temperature_degree_c,Richmond,NA,6,season_max,15.12
climatology,temperature_degree_c,Richmond,NA,7,season_min,1.961
climatology,temperature_degree_c,Richmond,NA,7,season_max,21.071
climatology,temperature_degree_c,Richmond,NA,8,season_min,5.447
climatology,temperature_degree_c,Richmond,NA,8,season_max,25.889
climatology,temperature_degree_c,Richmond,NA,9,season_min,8.228
climatology,temperature_degree_c,Richmond,NA,9,season_max,23.78
climatology,temperature_degree_c,Richmond,NA,10,season_min,7.026
climatology,temperature_degree_c,Richmond,NA,10,season_max,19.452
climatology,temperature_degree_c,Richmond,NA,11,season_min,4.424
climatology,temperature_degree_c,Richmond,NA,11,season_max,13.58
climatology,temperature_degree_c,Richmond,NA,12,season_min,-0.634
climatology,temperature_degree_c,Richmond,NA,12,season_max,9.824
climatology,temperature_degree_c,Shelburne,NA,1,season_min,0.184
climatology,temperature_degree_c,Shelburne,NA,1,season_max,7.996
climatology,temperature_degree_c,Shelburne,NA,2,season_min,0.414
climatology,temperature_degree_c,Shelburne,NA,2,season_max,5.058
climatology,temperature_degree_c,Shelburne,NA,3,season_min,-0.003
climatology,temperature_degree_c,Shelburne,NA,3,season_max,5.715
climatology,temperature_degree_c,Shelburne,NA,4,season_min,0.836
climatology,temperature_degree_c,Shelburne,NA,4,season_max,7.07
climatology,temperature_degree_c,Shelburne,NA,5,season_min,1.848
climatology,temperature_degree_c,Shelburne,NA,5,season_max,10.284
climatology,temperature_degree_c,Shelburne,NA,6,season_min,1.668
climatology,temperature_degree_c,Shelburne,NA,6,season_max,13.296
climatology,temperature_degree_c,Shelburne,NA,7,season_min,1.616
climatology,temperature_degree_c,Shelburne,NA,7,season_max,16.382
climatology,temperature_degree_c,Shelburne,NA,8,season_min,1.384
climatology,temperature_degree_c,Shelburne,NA,8,season_max,18.004
climatology,temperature_degree_c,Shelburne,NA,9,season_min,5.34
climatology,temperature_degree_c,Shelburne,NA,9,season_max,23.25
climatology,temperature_degree_c,Shelburne,NA,10,season_min,3.309
climatology,temperature_degree_c,Shelburne,NA,10,season_max,22.137
climatology,temperature_degree_c,Shelburne,NA,11,season_min,2.827
climatology,temperature_degree_c,Shelburne,NA,11,season_max,14.833
climatology,temperature_degree_c,Shelburne,NA,12,season_min,1.802
climatology,temperature_degree_c,Shelburne,NA,12,season_max,10.94
climatology,temperature_degree_c,Victoria,NA,1,season_min,-1.48
climatology,temperature_degree_c,Victoria,NA,1,season_max,3.956
climatology,temperature_degree_c,Victoria,NA,2,season_min,-2.069
climatology,temperature_degree_c,Victoria,NA,2,season_max,3.295
climatology,temperature_degree_c,Victoria,NA,3,season_min,-1.965
climatology,temperature_degree_c,Victoria,NA,3,season_max,2.949
climatology,temperature_degree_c,Victoria,NA,4,season_min,-1.308
climatology,temperature_degree_c,Victoria,NA,4,season_max,4.098
climatology,temperature_degree_c,Victoria,NA,5,season_min,-1.037
climatology,temperature_degree_c,Victoria,NA,5,season_max,10.891
climatology,temperature_degree_c,Victoria,NA,6,season_min,2.115
climatology,temperature_degree_c,Victoria,NA,6,season_max,17.235
climatology,temperature_degree_c,Victoria,NA,7,season_min,6.704
climatology,temperature_degree_c,Victoria,NA,7,season_max,24.482
climatology,temperature_degree_c,Victoria,NA,8,season_min,13.126
climatology,temperature_degree_c,Victoria,NA,8,season_max,26.2
climatology,temperature_degree_c,Victoria,NA,9,season_min,10.751
climatology,temperature_degree_c,Victoria,NA,9,season_max,22.703
climatology,temperature_degree_c,Victoria,NA,10,season_min,6.997
climatology,temperature_degree_c,Victoria,NA,10,season_max,20.293
climatology,temperature_degree_c,Victoria,NA,11,season_min,-2.028
climatology,temperature_degree_c,Victoria,NA,11,season_max,17.862
climatology,temperature_degree_c,Victoria,NA,12,season_min,-3.937
climatology,temperature_degree_c,Victoria,NA,12,season_max,11.381
climatology,temperature_degree_c,Yarmouth,NA,1,season_min,-1.698
climatology,temperature_degree_c,Yarmouth,NA,1,season_max,7.08
climatology,temperature_degree_c,Yarmouth,NA,2,season_min,-1.086
climatology,temperature_degree_c,Yarmouth,NA,2,season_max,3.918
climatology,temperature_degree_c,Yarmouth,NA,3,season_min,-1.819
climatology,temperature_degree_c,Yarmouth,NA,3,season_max,6.569
climatology,temperature_degree_c,Yarmouth,NA,4,season_min,1.632
climatology,temperature_degree_c,Yarmouth,NA,4,season_max,10.566
climatology,temperature_degree_c,Yarmouth,NA,5,season_min,4.146
climatology,temperature_degree_c,Yarmouth,NA,5,season_max,15.81
climatology,temperature_degree_c,Yarmouth,NA,6,season_min,7.216
climatology,temperature_degree_c,Yarmouth,NA,6,season_max,20.908
climatology,temperature_degree_c,Yarmouth,NA,7,season_min,9.319
climatology,temperature_degree_c,Yarmouth,NA,7,season_max,23.239
climatology,temperature_degree_c,Yarmouth,NA,8,season_min,10.424
climatology,temperature_degree_c,Yarmouth,NA,8,season_max,23.594
climatology,temperature_degree_c,Yarmouth,NA,9,season_min,10.992
climatology,temperature_degree_c,Yarmouth,NA,9,season_max,20.994
climatology,temperature_degree_c,Yarmouth,NA,10,season_min,10.269
climatology,temperature_degree_c,Yarmouth,NA,10,season_max,18.123
climatology,temperature_degree_c,Yarmouth,NA,11,season_min,4.324
climatology,temperature_degree_c,Yarmouth,NA,11,season_max,15.502
climatology,temperature_degree_c,Yarmouth,NA,12,season_min,0.242
climatology,temperature_degree_c,Yarmouth,NA,12,season_max,11.672
